,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,CPU_frequency,RAM_GB,Storage_GB_SSD,Price,Screen_Size_inch,Weight_lb,Price-binned,Screen-Full_HD,IPS Panel
0,0,Acer,4,2,1,5,0.5517241379310345,8,256,978,14.0,3.5280000000000005,Low,False,True
1,1,Dell,3,1,1,3,0.6896551724137931,4,256,634,15.598425196850393,4.851000000000001,Low,True,False
2,2,Dell,3,1,1,7,0.9310344827586208,8,256,946,15.598425196850393,4.851000000000001,Low,True,False
3,3,Dell,4,2,1,5,0.5517241379310345,8,128,1244,13.299212598425196,2.6901,Low,False,True
4,4,HP,4,2,1,7,0.6206896551724138,8,256,837,15.598425196850393,4.21155,Low,True,False
5,5,Dell,3,1,1,5,0.5517241379310345,8,256,1016,15.598425196850393,4.851000000000001,Low,True,False
6,6,HP,3,3,1,5,0.5517241379310345,8,256,1117,15.598425196850393,4.6305000000000005,Low,True,False
7,7,Acer,3,2,1,5,0.5517241379310345,4,256,866,15.0,4.851000000000001,Low,False,True
8,8,Dell,3,1,1,5,0.8620689655172414,4,256,812,15.598425196850393,5.0714999999999995,Low,True,False
9,9,Acer,3,3,1,7,0.6206896551724138,8,256,1068,15.0,4.851000000000001,Low,False,True
10,10,Dell,3,1,1,7,0.6206896551724138,8,256,975,15.598425196850393,4.69665,Low,True,False
11,11,HP,3,2,1,3,0.6896551724137931,4,128,558,15.598425196850393,4.21155,Low,True,False
12,12,Asus,3,2,2,3,0.6896551724137931,4,256,527,15.598425196850393,4.41,Low,True,False
13,13,Dell,4,2,1,5,0.5517241379310345,8,256,1117,14.0,3.7485,Low,True,False
14,14,Asus,3,2,1,5,0.5517241379310345,8,256,1195,14.0,3.0869999999999997,Low,True,False
15,15,HP,3,2,1,5,0.8620689655172414,8,256,876,15.598425196850393,4.1013,Low,True,False
16,16,Dell,4,1,1,7,0.6206896551724138,8,256,1213,13.000000000000002,3.0869999999999997,Low,False,True
17,17,Dell,3,1,1,7,0.6206896551724138,8,256,1105,15.598425196850393,4.851000000000001,Low,True,False
18,18,Dell,4,2,1,5,0.5517241379310345,8,256,1392,15.0,4.1453999999999995,Low,False,True
19,19,HP,3,2,1,5,0.5517241379310345,8,256,1092,14.0,3.59415,Low,True,False
